datetime,open,high,low,close,volume
2018-08-13T18:15:00,7362000.0,7375000.0,7352000.0,7357000.0,9.67469211
2018-08-13T18:20:00,7361000.0,7362000.0,7334000.0,7337000.0,3.03953373
2018-08-13T18:25:00,7336000.0,7359000.0,7335000.0,7338000.0,13.93490069
2018-08-13T18:30:00,7338000.0,7359000.0,7338000.0,7342000.0,13.75280127
2018-08-13T18:35:00,7351000.0,7379000.0,7340000.0,7361000.0,53.8338858
2018-08-13T18:40:00,7361000.0,7390000.0,7361000.0,7384000.0,9.61212278
2018-08-13T18:45:00,7384000.0,7384000.0,7358000.0,7369000.0,4.32847978
2018-08-13T18:50:00,7369000.0,7382000.0,7353000.0,7372000.0,7.92500263
2018-08-13T18:55:00,7377000.0,7377000.0,7366000.0,7368000.0,4.75242806
2018-08-13T19:00:00,7368000.0,7389000.0,7368000.0,7389000.0,7.01371616
2018-08-13T19:05:00,7389000.0,7389000.0,7372000.0,7372000.0,3.9990788
2018-08-13T19:10:00,7380000.0,7380000.0,7350000.0,7353000.0,12.78865831
2018-08-13T19:15:00,7353000.0,7364000.0,7340000.0,7341000.0,8.04046856
2018-08-13T19:20:00,7354000.0,7356000.0,7340000.0,7345000.0,11.55237526
2018-08-13T19:25:00,7348000.0,7353000.0,7340000.0,7353000.0,14.98832747
2018-08-13T19:30:00,7353000.0,7362000.0,7350000.0,7350000.0,6.47959016
2018-08-13T19:35:00,7350000.0,7380000.0,7346000.0,7366000.0,11.64134729
2018-08-13T19:40:00,7366000.0,7377000.0,7350000.0,7368000.0,11.7390803
2018-08-13T19:45:00,7368000.0,7374000.0,7353000.0,7355000.0,13.35110249
2018-08-13T19:50:00,7360000.0,7370000.0,7350000.0,7363000.0,9.37944743
2018-08-13T19:55:00,7363000.0,7377000.0,7352000.0,7364000.0,14.37190297
2018-08-13T20:00:00,7363000.0,7372000.0,7350000.0,7352000.0,9.04049499
2018-08-13T20:05:00,7352000.0,7387000.0,7340000.0,7348000.0,18.56640948
2018-08-13T20:10:00,7348000.0,7384000.0,7347000.0,7373000.0,6.94909147
2018-08-13T20:15:00,7370000.0,7432000.0,7366000.0,7411000.0,28.78379588
2018-08-13T20:20:00,7417000.0,7428000.0,7400000.0,7408000.0,6.20635734
2018-08-13T20:25:00,7400000.0,7413000.0,7395000.0,7412000.0,2.49379157
2018-08-13T20:30:00,7412000.0,7412000.0,7390000.0,7400000.0,8.98132276
2018-08-13T20:35:00,7400000.0,7432000.0,7400000.0,7417000.0,3.78725698
2018-08-13T20:40:00,7420000.0,7429000.0,7412000.0,7416000.0,5.82992361
2018-08-13T20:45:00,7419000.0,7429000.0,7395000.0,7412000.0,4.94500208
2018-08-13T20:50:00,7405000.0,7415000.0,7395000.0,7400000.0,6.43664847
2018-08-13T20:55:00,7410000.0,7410000.0,7399000.0,7410000.0,8.2715747
2018-08-13T21:00:00,7408000.0,7410000.0,7389000.0,7389000.0,7.18538677
2018-08-13T21:05:00,7391000.0,7396000.0,7374000.0,7395000.0,13.93557858
2018-08-13T21:10:00,7395000.0,7396000.0,7379000.0,7395000.0,3.57876177
2018-08-13T21:15:00,7395000.0,7400000.0,7386000.0,7390000.0,3.47572674
2018-08-13T21:20:00,7390000.0,7402000.0,7390000.0,7401000.0,3.00071396
2018-08-13T21:25:00,7401000.0,7402000.0,7393000.0,7393000.0,3.40935346
2018-08-13T21:30:00,7393000.0,7400000.0,7391000.0,7397000.0,6.50118956
2018-08-13T21:35:00,7398000.0,7399000.0,7382000.0,7382000.0,2.51876324
2018-08-13T21:40:00,7382000.0,7383000.0,7365000.0,7366000.0,7.9779204
2018-08-13T21:45:00,7371000.0,7389000.0,7365000.0,7366000.0,15.39945953
2018-08-13T21:50:00,7365000.0,7379000.0,7361000.0,7362000.0,8.04837814
2018-08-13T21:55:00,7363000.0,7366000.0,7347000.0,7347000.0,13.46088596
2018-08-13T22:00:00,7347000.0,7371000.0,7345000.0,7366000.0,9.35930328
2018-08-13T22:05:00,7364000.0,7388000.0,7364000.0,7373000.0,6.94333426
2018-08-13T22:10:00,7372000.0,7379000.0,7360000.0,7369000.0,4.37265007
2018-08-13T22:15:00,7369000.0,7374000.0,7350000.0,7361000.0,13.31775658
2018-08-13T22:20:00,7359000.0,7365000.0,7320000.0,7365000.0,27.11603497
2018-08-13T22:25:00,7365000.0,7389000.0,7348000.0,7370000.0,19.24472318
2018-08-13T22:30:00,7370000.0,7389000.0,7358000.0,7379000.0,20.51957256
2018-08-13T22:35:00,7378000.0,7383000.0,7362000.0,7364000.0,8.59243841
2018-08-13T22:40:00,7364000.0,7384000.0,7350000.0,7381000.0,26.85609165
2018-08-13T22:45:00,7381000.0,7387000.0,7361000.0,7382000.0,10.53447485
2018-08-13T22:50:00,7382000.0,7390000.0,7379000.0,7385000.0,9.19156991
2018-08-13T22:55:00,7385000.0,7396000.0,7380000.0,7387000.0,14.23573173
2018-08-13T23:00:00,7387000.0,7388000.0,7376000.0,7384000.0,13.89247987
2018-08-13T23:05:00,7387000.0,7407000.0,7384000.0,7407000.0,11.89733341
2018-08-13T23:10:00,7407000.0,7408000.0,7376000.0,7392000.0,14.2195823
2018-08-13T23:15:00,7392000.0,7399000.0,7385000.0,7389000.0,8.01686872
2018-08-13T23:20:00,7391000.0,7416000.0,7388000.0,7413000.0,16.14751605
2018-08-13T23:25:00,7416000.0,7416000.0,7402000.0,7412000.0,12.37037004
2018-08-13T23:30:00,7411000.0,7423000.0,7405000.0,7420000.0,11.16886463
2018-08-13T23:35:00,7422000.0,7422000.0,7407000.0,7411000.0,20.73187428
2018-08-13T23:40:00,7408000.0,7411000.0,7406000.0,7411000.0,22.85834981
2018-08-13T23:45:00,7409000.0,7414000.0,7400000.0,7408000.0,19.2102644
2018-08-13T23:50:00,7400000.0,7408000.0,7388000.0,7392000.0,8.43545535
2018-08-13T23:55:00,7392000.0,7396000.0,7383000.0,7387000.0,17.06816582
2018-08-14T00:00:00,7386000.0,7386000.0,7344000.0,7358000.0,41.42390807
2018-08-14T00:05:00,7358000.0,7383000.0,7340000.0,7367000.0,13.86589409
2018-08-14T00:10:00,7368000.0,7376000.0,7335000.0,7335000.0,34.28443188
2018-08-14T00:15:00,7335000.0,7361000.0,7310000.0,7323000.0,75.0729458
2018-08-14T00:20:00,7323000.0,7335000.0,7317000.0,7329000.0,38.94689109
2018-08-14T00:25:00,7329000.0,7330000.0,7288000.0,7299000.0,83.08280902
2018-08-14T00:30:00,7303000.0,7312000.0,7293000.0,7294000.0,39.50689801
2018-08-14T00:35:00,7294000.0,7307000.0,7278000.0,7298000.0,65.92994895
2018-08-14T00:40:00,7300000.0,7318000.0,7292000.0,7308000.0,29.02758889
2018-08-14T00:45:00,7302000.0,7344000.0,7302000.0,7335000.0,32.72600439
2018-08-14T00:50:00,7335000.0,7335000.0,7325000.0,7325000.0,20.43934973
2018-08-14T00:55:00,7325000.0,7333000.0,7302000.0,7310000.0,33.68082743
2018-08-14T01:00:00,7310000.0,7333000.0,7303000.0,7319000.0,31.52905015
2018-08-14T01:05:00,7319000.0,7328000.0,7306000.0,7317000.0,15.35505909
2018-08-14T01:10:00,7318000.0,7319000.0,7280000.0,7309000.0,34.93609424
2018-08-14T01:15:00,7292000.0,7319000.0,7291000.0,7293000.0,16.74454956
2018-08-14T01:20:00,7291000.0,7293000.0,7269000.0,7269000.0,38.98606171
2018-08-14T01:25:00,7270000.0,7270000.0,7247000.0,7267000.0,114.07501678
2018-08-14T01:30:00,7266000.0,7293000.0,7253000.0,7278000.0,38.40251389
2018-08-14T01:35:00,7278000.0,7300000.0,7265000.0,7275000.0,65.14415057
2018-08-14T01:40:00,7274000.0,7277000.0,7246000.0,7257000.0,74.22973447
2018-08-14T01:45:00,7257000.0,7257000.0,7163000.0,7164000.0,189.53773906
2018-08-14T01:50:00,7164000.0,7172000.0,7151000.0,7169000.0,93.46511061
2018-08-14T01:55:00,7169000.0,7181000.0,7101000.0,7102000.0,187.56496829
2018-08-14T02:00:00,7101000.0,7102000.0,7010000.0,7024000.0,180.82038343
2018-08-14T02:05:00,7017000.0,7050000.0,6960000.0,7019000.0,286.856028
2018-08-14T02:10:00,7019000.0,7060000.0,7009000.0,7021000.0,119.71164762
2018-08-14T02:15:00,7023000.0,7047000.0,7004000.0,7035000.0,99.34574402
2018-08-14T02:20:00,7035000.0,7075000.0,7029000.0,7063000.0,70.12901598
2018-08-14T02:25:00,7070000.0,7098000.0,7052000.0,7060000.0,102.42903045
2018-08-14T02:30:00,7053000.0,7063000.0,7031000.0,7038000.0,51.7621026
2018-08-14T02:35:00,7040000.0,7049000.0,7021000.0,7026000.0,53.25594091
2018-08-14T02:40:00,7026000.0,7043000.0,7025000.0,7041000.0,45.95551864
2018-08-14T02:45:00,7040000.0,7042000.0,7028000.0,7033000.0,26.09180148
2018-08-14T02:50:00,7033000.0,7042000.0,7019000.0,7025000.0,40.42925704
2018-08-14T02:55:00,7029000.0,7036000.0,7020000.0,7025000.0,25.9183787
2018-08-14T03:00:00,7021000.0,7025000.0,6992000.0,6996000.0,80.53003229
2018-08-14T03:05:00,6992000.0,7025000.0,6973000.0,7021000.0,81.59872194
2018-08-14T03:10:00,7021000.0,7044000.0,7012000.0,7044000.0,47.76829935
2018-08-14T03:15:00,7046000.0,7077000.0,7040000.0,7045000.0,70.46405691
2018-08-14T03:20:00,7045000.0,7050000.0,7028000.0,7038000.0,31.50105934
2018-08-14T03:25:00,7038000.0,7042000.0,7027000.0,7033000.0,33.59243718
2018-08-14T03:30:00,7028000.0,7038000.0,7028000.0,7028000.0,22.11147755
2018-08-14T03:35:00,7028000.0,7036000.0,7020000.0,7035000.0,36.95880295
2018-08-14T03:40:00,7036000.0,7043000.0,7032000.0,7042000.0,22.7179512
2018-08-14T03:45:00,7043000.0,7050000.0,7037000.0,7043000.0,22.28304647
2018-08-14T03:50:00,7043000.0,7044000.0,7032000.0,7042000.0,23.04883591
2018-08-14T03:55:00,7039000.0,7055000.0,7039000.0,7051000.0,52.43701851
2018-08-14T04:00:00,7051000.0,7058000.0,7040000.0,7057000.0,39.99195334
2018-08-14T04:05:00,7051000.0,7100000.0,7051000.0,7087000.0,78.36989281
